Process Name                  PID       Username
nesessionmanager              5565      root
sysextd                       5566      root
zsh                           5578      ash_10
LookupViewService             5615      ash_10
itunescloudd                  5616      ash_10
iconservicesagent             5617      ash_10
iconservicesd                 5618      _iconservices
ReportCrash                   5619      ash_10
coresymbolicatio              5621      root
MTLCompilerService            5777      ash_10
MTLCompilerService            5778      ash_10
keyboardservicesd             5817      ash_10
com.apple.WebKit.WebContent   5845      ash_10
com.apple.WebKit.WebContent   5846      ash_10
reversetemplated              5847      ash_10
AXVisualSupportAgent          5848      ash_10
MailCacheDelete               5849      ash_10
MusicCacheExtension           5852      ash_10
TVCacheExtension              5853      ash_10
CacheDeleteExtension          5854      ash_10
com.apple.WebKit.Networking   5855      ash_10
python3.13                    5859      ash_10
